INCORRECT ANNOTATION	1085testa	Latvia	Latvia	Latvia national football team
global=0.355	0.322
local(<e, ctx>)=0.107	-0.063
log p(e|m)=-0.351	-2.577
Latvia[0.053]; European[0.051]; European[0.051]; soccer[0.050]; qualifier[0.050]; Sweden[0.049]; Sweden[0.049]; championship[0.047]; Soccer[0.047]; Riga[0.046]; beat[0.046]; Saturday[0.045]; Qualifier[0.045]; minute[0.044]; Persson[0.043]; Andersson[0.043]; Beat[0.042]; halftime[0.041]; Attendance[0.041]; Daniel[0.040]; Scorers[0.039]; Joakim[0.039]; 

INCORRECT ANNOTATION	1085testa	Latvia	Latvia	Latvia national football team
global=0.344	0.330
local(<e, ctx>)=0.008	0.163
log p(e|m)=-0.351	-2.577
Latvia[0.053]; European[0.051]; European[0.051]; soccer[0.050]; qualifier[0.050]; Sweden[0.049]; Sweden[0.049]; championship[0.047]; Soccer[0.047]; Riga[0.046]; beat[0.046]; Saturday[0.045]; Qualifier[0.045]; minute[0.044]; Persson[0.043]; Andersson[0.043]; Beat[0.042]; halftime[0.041]; Attendance[0.041]; Daniel[0.040]; Scorers[0.039]; Joakim[0.039]; 

INCORRECT ANNOTATION	1085testa	Sweden	Sweden	Sweden national football team
global=0.340	0.313
local(<e, ctx>)=0.088	0.129
log p(e|m)=-0.213	-2.957
Sweden[0.054]; qualifier[0.051]; soccer[0.051]; European[0.048]; European[0.048]; Latvia[0.047]; Latvia[0.047]; beat[0.047]; championship[0.047]; minute[0.046]; Soccer[0.046]; Andersson[0.046]; Saturday[0.045]; Qualifier[0.044]; Persson[0.044]; Riga[0.043]; halftime[0.042]; Beat[0.042]; Joakim[0.041]; Daniel[0.041]; Scorers[0.040]; Attendance[0.039]; 

INCORRECT ANNOTATION	1085testa	Sweden	Sweden	Sweden national football team
global=0.348	0.307
local(<e, ctx>)=0.249	0.001
log p(e|m)=-0.213	-2.957
Sweden[0.054]; qualifier[0.051]; soccer[0.051]; European[0.048]; European[0.048]; Latvia[0.047]; Latvia[0.047]; beat[0.047]; championship[0.047]; minute[0.046]; Soccer[0.046]; Andersson[0.046]; Saturday[0.045]; Qualifier[0.044]; Persson[0.044]; Riga[0.043]; halftime[0.042]; Beat[0.042]; Joakim[0.041]; Daniel[0.041]; Scorers[0.040]; Attendance[0.039]; 

INCORRECT ANNOTATION	1138testa	Korean	South Korea	Korea
global=0.350	0.339
local(<e, ctx>)=0.629	0.415
log p(e|m)=-2.703	-1.754
Korea[0.047]; Korea[0.047]; Korean[0.045]; Korean[0.045]; Korean[0.045]; Korean[0.045]; Seoul[0.043]; Seoul[0.043]; southern[0.041]; southern[0.041]; northern[0.040]; northern[0.040]; North[0.040]; North[0.040]; North[0.040]; Kim[0.040]; Kim[0.040]; Kim[0.040]; war[0.039]; war[0.039]; war[0.039]; War[0.039]; War[0.039]; Kang[0.039]; 

INCORRECT ANNOTATION	1138testa	Korean	South Korea	Korea
global=0.349	0.338
local(<e, ctx>)=0.584	0.357
log p(e|m)=-2.703	-1.754
